Microsec,AvailableMoves
6736,4
5765,3
8059,4
2423,6
2120,4
2190,4
8615,10
6276,6
3129,10
2980,8
2720,6
3329,7
3157,11
3086,9
2817,10
3754,12
13618,10
4535,11
3567,8
5520,11
3527,11
8992,12
5754,11
3648,13
14434,7
5878,13
8821,10
6037,12
3426,10
5713,15
5176,10
3805,16
2597,5
3109,15
2493,7
5695,13
5325,9
3891,11
2313,9
2626,9
2721,9
2445,9
2553,9
9800,8
7283,11
4152,11
4683,6
3540,11
11108,5
7422,9
7986,7
5823,6
4169,6
2264,4
3574,3
2186,4
7141,3
3637,3
2633,2
2945,1
10779,4
5193,3
7669,4
2597,6
3603,4
10167,4
5659,6
2396,5
2832,10
2831,9
2563,10
3197,9
4690,8
3578,9
2938,6
4793,13
5207,9
3068,10
3589,11
17266,6
2659,15
20245,1
3645,14
2591,5
5125,11
12528,5
3663,11
2809,8
3466,12
5100,6
3440,12
13512,8
3278,13
5223,9
4600,14
4252,9
3857,13
5486,8
2943,14
5393,6
3959,12
5311,5
2762,12
2354,5
2668,12
2777,7
5320,10
2564,9
2976,10
2301,7
9464,8
2337,6
5629,6
4482,6
2615,6
3082,5
1944,4
2237,3
2171,1
2231,1
6587,4
7730,3
5535,4
2234,6
2547,4
9807,4
5118,6
2454,5
2660,10
2696,9
3411,10
4099,9
2725,8
4369,9
2731,6
3226,13
2666,9
3183,10
7121,11
14915,6
5953,15
22628,1
6440,14
2474,5
2848,11
12545,5
5306,11
2705,8
4862,12
2642,6
3269,12
15199,8
3421,13
3080,9
4275,14
6929,9
4897,13
8877,10
3436,11
5273,6
5224,12
5224,9
5318,11
2232,9
9419,5
3087,8
2807,5
5981,9
2569,7
2525,7
3016,4
2164,5
4590,5
2192,5
2585,4
2431,4
4705,3
2905,2
2245,1
2151,1
